expected, output, measured
10,600.01,6.0001
10,-359.692,8.34322
10,-140.271,9.26011
10,-54.697,9.62077
10,-21.3227,9.76449
10,-8.30668,9.82362
10,-3.23037,9.84975
10,-1.25067,9.86302
10,-0.478519,9.87127
10,-0.177411,9.87757
10,-0.0599862,9.8831
10,-0.0141501,9.88834
10,0.00369987,9.89346
10,0.0106729,9.89854
10,0.0133492,9.9036
10,0.0144756,9.90866
10,0.014853,9.91372
10,0.0149965,9.91878
10,0.0150778,9.92383
10,0.0150967,9.92889
10,0.0150534,9.93396
10,0.0151194,9.93902
10,0.015066,9.94408
10,0.0151219,9.94914
10,0.0150583,9.95421
10,0.0151041,9.95927
10,0.0150876,9.96434
10,0.015066,9.9694
10,0.0150966,9.97447
10,0.015065,9.97954
10,0.0150854,9.9846
10,-0.284899,9.98667
10,0.0151022,9.98877
10,-0.0570303,9.99018
10,-0.0430498,9.99104
10,-0.0211907,9.99158
10,-0.00626923,9.99195
10,0.00203536,9.99225
10,0.00623707,9.9925
10,0.00830695,9.99273
10,0.00921106,9.99295
10,0.00965863,9.99316
10,0.00978552,9.99337
10,0.00992108,9.99358
10,0.00994543,9.99379
10,0.00991363,9.99399
10,0.00993937,9.99419
10,0.00996505,9.99439
10,0.00999056,9.99458
10,0.00995866,9.99478
10,0.00992654,9.99497
10,0.00995138,9.99516
10,0.00991882,9.99534
10,0.00994323,9.99553
10,0.00996747,9.99571
10,0.00993424,9.99589
10,0.00990083,9.99606
10,0.00992444,9.99624
10,0.00994785,9.99641
10,0.00991386,9.99658
10,0.0099369,9.99674
10,0.00990255,9.99691
10,0.00946328,9.99706
10,0.0102667,9.99722
10,0.0101493,9.99738
10,0.0101097,9.99754
10,0.0101435,9.9977
10,0.0101296,9.99785
10,0.0101205,9.99801
10,0.0101137,9.99817
10,0.0101653,9.99832
10,0.0101601,9.99848
10,0.010155,9.99864
10,0.0101499,9.99879
10,0.0101447,9.99895
10,0.0101396,9.99911
10,0.0101343,9.99926
10,0.0101289,9.99942
10,0.0101235,9.99957
10,0.0101752,9.99973
10,0.0101696,9.99989
10,0.0101067,10
10,0.0101581,10.0002
10,0.0101523,10.0004
10,0.0101464,10.0005
10,0.0101404,10.0007
10,0.0101343,10.0008
10,0.0101281,10.001
10,0.010179,10.0011
10,0.0101727,10.0013
10,0.010109,10.0014
10,0.0101597,10.0016
10,0.0101531,10.0017
10,0.0100537,10.0019
10,0.0101971,10.0021
10,0.010133,10.0022
10,0.0101833,10.0024
10,0.010119,10.0025
10,0.010169,10.0027
10,0.0101616,10.0028
10,0.010154,10.003
10,0.0101464,10.0031
10,0.0101385,10.0033
10,0.0101306,10.0034
10,0.0101224,10.0036
10,0.0101714,10.0037
10,0.0101057,10.0039
10,0.0101544,10.004
